"Company","Product_Type","Production_Year","Greenhouse_Gas_Emissions","Pollutants_Emitted","Water_Consumption","Energy_Consumption","Waste_Generation","Sales_Revenue"
"Nike","Wool",2021,2100,23,4360,1022,214,504744
"Adidas","Synthetic_Blend",2022,1912,22,4381,930,179,540965
"Zara","Wool",2019,5882,18,6084,1422,219,528918
"Urban Outfitters","Linen",2019,5541,13,5571,895,303,553232
"Adidas","Nylon",2020,5199,19,7826,1219,218,420672
"Nike","Synthetic_Blend",2022,5811,13,5829,1251,273,510472
"Nike","Tencel",2022,4890,23,7820,1029,198,482601
"Forever 21","Microfiber",2019,5165,10,5303,1462,271,519937
"Urban Outfitters","Wool",2019,5857,10,4517,1214,301,507030
"Zara","Organic_Cotton",2018,4203,20,5535,1141,187,484014
"Forever 21","Microfiber",2022,3275,14,4717,780,306,520281
"Urban Outfitters","Synthetic_Blend",2018,5611,18,6775,1259,190,439362
"Urban Outfitters","Organic_Cotton",2022,4250,22,6827,956,266,499199
"Nike","Synthetic_Blend",2018,5042,17,4033,1279,325,432856
"Forever 21","Linen",2020,3685,20,4897,1351,198,582762
"Nike","Wool",2019,2595,10,5265,1151,158,571931
"Nike","Recycled_Poly",2018,4217,19,7061,1125,194,472637
"Nike","Organic_Cotton",2018,5636,11,4576,1472,207,597294
"Zara","Viscose",2022,4487,16,6652,764,312,541704
"Urban Outfitters","Viscose",2019,5198,12,7414,1201,307,526985
"Nike","Polyester",2020,3579,23,5821,941,242,446045
"Nike","Tencel",2020,2296,21,5130,894,181,539201
"Zara","Wool",2019,1974,10,7222,1041,212,453010
"Zara","Recycled_Poly",2018,4734,16,6411,1031,154,465677
"Urban Outfitters","Organic_Cotton",2022,2693,23,6063,926,307,431367
"Forever 21","Synthetic_Blend",2021,2055,10,5961,1111,259,599856
"Adidas","Synthetic_Blend",2022,4463,21,6446,1243,225,538938
"Forever 21","Viscose",2021,2612,12,7493,1370,316,564529
"Zara","Synthetic_Blend",2022,4359,20,4424,1291,279,475768
"Nike","Viscose",2019,5315,9,6494,1373,327,490109
"Zara","Recycled_Poly",2020,4331,19,5437,706,196,457552
"Forever 21","Wool",2021,2370,13,7035,1348,157,444053
"Zara","Wool",2018,4029,23,6711,1134,274,579141
"Nike","Wool",2022,5786,25,6732,1015,161,477807
"Urban Outfitters","Viscose",2018,1862,15,5234,916,346,455975
"Nike","Synthetic_Blend",2020,2782,9,6037,1464,260,466057
"Adidas","Viscose",2021,4764,11,5788,808,212,534209
"Forever 21","Microfiber",2022,2444,21,7565,1017,340,509001
"Adidas","Organic_Cotton",2019,2425,25,6593,816,285,553680
"Adidas","Organic_Cotton",2020,3009,16,4421,849,215,471713
"Adidas","Viscose",2019,2417,14,7896,1491,310,549529
"Urban Outfitters","Viscose",2022,5477,19,7539,1342,230,459572
"Urban Outfitters","Nylon",2021,5422,18,7261,981,301,434725
"Nike","Tencel",2018,4342,23,5851,738,164,516662
"Nike","Nylon",2018,5953,21,5895,1294,291,430753
"Urban Outfitters","Viscose",2019,4433,24,6053,854,165,538101
"Zara","Organic_Cotton",2018,5933,14,4160,953,331,534755
"Urban Outfitters","Tencel",2022,3100,20,5527,989,249,527156
"Urban Outfitters","Synthetic_Blend",2020,3031,19,4333,1296,319,457074
"Nike","Synthetic_Blend",2021,2856,11,5268,1272,246,588687
"Nike","Recycled_Poly",2019,4599,24,4786,931,185,460617
"Zara","Synthetic_Blend",2018,5958,25,4154,1377,236,582013
"Adidas","Linen",2018,5165,20,6770,1436,210,536444
"Adidas","Viscose",2019,3848,10,6626,1192,245,565369
"Zara","Tencel",2018,4135,11,7125,864,219,537786
"Urban Outfitters","Polyester",2021,5912,20,4965,1095,170,518281
"Zara","Polyester",2019,5239,23,4257,813,277,576431
"Nike","Nylon",2022,5956,25,6269,720,249,543243
"Zara","Wool",2021,4858,17,7061,716,241,437710
"Adidas","Wool",2021,5720,14,7323,838,166,539977
"Forever 21","Microfiber",2022,5678,17,4149,1471,315,470096
"Nike","Nylon",2018,4486,18,5255,1156,304,531703
"Nike","Wool",2018,2414,21,5488,1225,341,598103
"Zara","Synthetic_Blend",2020,5455,15,6506,992,327,548765
"Nike","Wool",2020,2331,18,7650,1007,190,587169
"Adidas","Organic_Cotton",2022,3636,12,4823,842,210,549504
"Zara","Organic_Cotton",2022,4822,23,7291,1264,183,580418
"Zara","Nylon",2020,5061,24,6153,1120,346,527330
"Forever 21","Nylon",2019,4397,11,5843,1177,324,555622
"Forever 21","Recycled_Poly",2020,3148,14,5321,1426,207,510707
"Nike","Viscose",2022,2565,25,6625,872,301,572212
"Adidas","Recycled_Poly",2022,4565,10,7380,729,170,431917
"Forever 21","Synthetic_Blend",2019,5212,9,6039,1342,289,495935
"Nike","Tencel",2018,2680,22,4548,970,336,515886
"Urban Outfitters","Organic_Cotton",2018,5081,10,6335,1275,199,515033
"Forever 21","Synthetic_Blend",2018,4964,25,5844,1482,290,493327
"Forever 21","Wool",2022,2773,13,7993,799,250,517831
"Nike","Tencel",2020,2981,15,6467,1221,252,551092
"Adidas","Viscose",2022,2945,19,7814,1327,231,462598
"Urban Outfitters","Viscose",2020,4555,25,7392,1221,286,548410
"Forever 21","Synthetic_Blend",2021,1936,20,5356,1389,178,529193
"Urban Outfitters","Recycled_Poly",2019,2058,12,4781,719,262,502232
"Urban Outfitters","Recycled_Poly",2021,3470,22,6055,1493,306,543628
"Nike","Recycled_Poly",2021,4604,20,6768,1490,334,598453
"Nike","Synthetic_Blend",2019,5805,19,5965,1057,293,491685
"Forever 21","Cotton",2022,2105,14,5711,880,159,524069
"Nike","Synthetic_Blend",2021,5846,13,7485,1216,269,491522
"Zara","Organic_Cotton",2020,3382,14,6502,1354,253,532119
"Nike","Viscose",2022,1893,17,6677,1068,327,481945
"Nike","Nylon",2020,4810,16,4897,836,272,460156
"Urban Outfitters","Viscose",2020,5206,24,7102,1250,320,477255
"Adidas","Organic_Cotton",2022,5419,12,6786,910,333,572868
"Urban Outfitters","Nylon",2022,5449,10,5857,835,281,528901
"Urban Outfitters","Viscose",2018,5587,18,6962,722,251,486704
"Forever 21","Recycled_Poly",2020,2771,14,6200,1102,285,453383
"Adidas","Polyester",2018,4244,23,6758,1436,289,531182
"Zara","Polyester",2021,1928,16,4844,768,175,575698
"Zara","Linen",2022,2198,16,7033,745,252,535071
"Adidas","Tencel",2019,2262,13,6063,996,209,571023
"Adidas","Microfiber",2020,4054,10,6280,1305,338,465910
"Urban Outfitters","Tencel",2021,2184,20,7856,1358,321,519917
"Forever 21","Organic_Cotton",2021,5144,13,5228,1085,197,561014
"Urban Outfitters","Microfiber",2022,2898,21,4994,961,202,506576
"Forever 21","Viscose",2018,2396,15,7295,1479,300,596016
"Forever 21","Cotton",2021,3511,19,5241,715,204,469813
"Zara","Linen",2019,3475,21,7748,945,291,504309
"Nike","Microfiber",2021,4743,18,5071,1068,281,550358
"Urban Outfitters","Nylon",2021,4423,15,5518,1020,255,431984
"Forever 21","Cotton",2019,1932,17,6266,1298,298,529465
"Nike","Polyester",2022,5758,24,4064,706,286,564610
"Urban Outfitters","Polyester",2018,4050,18,4070,1214,328,596693
"Forever 21","Synthetic_Blend",2020,3989,21,4323,1082,253,540323
"Adidas","Viscose",2021,4020,10,7785,776,325,493498
"Urban Outfitters","Nylon",2020,3130,16,6321,1098,323,561705
"Urban Outfitters","Cotton",2018,4590,21,7968,1492,233,427766
"Nike","Linen",2021,3668,20,6265,1084,260,468690
"Zara","Nylon",2018,4325,23,5474,1479,219,446799
"Adidas","Nylon",2019,5330,23,6281,1268,281,526966
"Zara","Polyester",2018,4699,11,6445,1312,350,505047
"Urban Outfitters","Polyester",2020,5189,21,7191,786,335,566679
"Adidas","Viscose",2022,3189,21,4694,842,218,498939
"Forever 21","Microfiber",2020,5406,19,5763,1366,302,455684
"Nike","Organic_Cotton",2022,3445,24,5286,881,251,503660
"Nike","Wool",2021,3785,19,5540,987,250,515686
"Zara","Viscose",2019,3273,9,7903,1444,268,474958
"Forever 21","Polyester",2022,5073,19,7955,1140,177,422765
"Zara","Synthetic_Blend",2019,5983,25,6285,1294,326,570794
"Adidas","Tencel",2019,4511,22,7925,1173,209,526180
"Adidas","Recycled_Poly",2021,5040,9,7020,1328,200,537853
"Forever 21","Microfiber",2021,1836,15,4842,985,342,436400
"Nike","Wool",2021,4367,21,6503,1101,300,449945
"Adidas","Organic_Cotton",2018,3754,18,4479,887,245,457056
"Urban Outfitters","Viscose",2018,4741,9,5984,839,199,520648
"Adidas","Nylon",2022,2052,16,5196,733,220,478941
"Zara","Synthetic_Blend",2022,4805,10,7112,1436,262,563223
"Nike","Nylon",2021,2761,16,4859,1455,300,511915
"Forever 21","Synthetic_Blend",2022,2580,13,7943,1468,255,435541
"Urban Outfitters","Linen",2019,4001,22,5536,1162,169,586101
"Zara","Microfiber",2022,4079,20,5862,1199,233,572556
"Zara","Nylon",2021,4734,11,7259,1247,251,477102
"Nike","Synthetic_Blend",2018,4846,14,4212,1105,310,500087
"Zara","Cotton",2022,4134,9,7472,1374,227,473856
"Zara","Organic_Cotton",2020,2881,21,7525,1282,257,515790
"Forever 21","Wool",2019,5658,11,4068,1301,167,423615
"Zara","Synthetic_Blend",2021,3754,10,5001,788,261,450405
"Urban Outfitters","Viscose",2022,2250,18,6728,1459,318,466044
"Zara","Polyester",2019,1892,14,6033,1055,283,555586
"Adidas","Synthetic_Blend",2018,2744,16,7034,1221,150,431544
"Zara","Cotton",2018,5664,20,5568,853,195,429270
"Adidas","Tencel",2018,5084,11,7592,1176,222,501447
"Nike","Nylon",2022,5541,9,5511,905,224,567798
"Nike","Viscose",2019,5600,20,6423,1205,347,471228
"Zara","Viscose",2022,2310,22,6713,833,210,496461
"Nike","Organic_Cotton",2021,4472,19,5854,978,209,439578
"Nike","Microfiber",2018,4735,15,5851,1015,268,489470
"Zara","Nylon",2019,4292,10,4880,1035,187,443910
"Adidas","Organic_Cotton",2021,2201,18,5065,878,157,526008
"Urban Outfitters","Tencel",2022,3846,12,5892,804,185,451838
"Urban Outfitters","Recycled_Poly",2018,4516,12,4174,1172,162,464037
"Nike","Cotton",2019,4052,17,5826,852,158,580984
"Forever 21","Viscose",2019,4217,24,5687,1263,272,435985
"Zara","Synthetic_Blend",2021,2924,22,4816,1358,284,485312
"Forever 21","Polyester",2021,4741,24,6230,1500,274,510186
"Adidas","Recycled_Poly",2018,3830,16,5091,1246,338,434656
"Adidas","Viscose",2021,4706,14,4721,942,301,503362
"Nike","Viscose",2018,4680,13,6306,892,276,562114
"Nike","Recycled_Poly",2021,2110,11,4230,938,304,477359
"Zara","Tencel",2021,1805,19,7759,1328,201,454207
"Nike","Recycled_Poly",2020,2287,9,4605,1300,330,457133
"Zara","Tencel",2020,2394,20,6885,1378,251,573620
"Urban Outfitters","Synthetic_Blend",2020,2843,14,6985,701,329,570165
"Urban Outfitters","Viscose",2018,3291,19,7772,1326,206,587679
"Forever 21","Nylon",2021,2952,19,7052,779,210,510914
"Nike","Recycled_Poly",2018,4550,23,4046,971,203,485415
"Adidas","Microfiber",2021,4902,20,6236,1084,175,545695
"Nike","Synthetic_Blend",2018,2407,19,4696,1084,191,439661
"Urban Outfitters","Recycled_Poly",2018,2629,19,4841,894,254,565257
"Forever 21","Synthetic_Blend",2020,4236,16,4392,750,250,569886
"Zara","Wool",2022,4974,14,5519,1090,244,468911
"Zara","Recycled_Poly",2018,2502,20,7310,1254,255,574593
"Forever 21","Tencel",2022,3007,12,7888,1475,264,465319
"Adidas","Wool",2019,3912,19,7730,1444,167,442813
"Urban Outfitters","Tencel",2021,4471,17,6128,1169,153,583330
"Forever 21","Viscose",2021,2117,21,7643,1039,326,482279
"Urban Outfitters","Wool",2018,3667,13,5230,1461,263,504113
"Adidas","Tencel",2022,2037,14,4789,905,164,485402
"Adidas","Wool",2019,3493,17,6668,1119,281,425256
"Nike","Microfiber",2021,4656,23,5032,923,269,499205
"Forever 21","Viscose",2021,2638,9,6095,1378,245,567182
"Forever 21","Viscose",2020,4245,12,5973,765,236,492478
"Nike","Synthetic_Blend",2020,4247,15,4614,1229,345,482993
"Zara","Viscose",2021,4418,13,6954,726,317,550383
"Nike","Synthetic_Blend",2021,5114,21,7017,736,299,569957
"Adidas","Organic_Cotton",2019,5697,20,6077,1007,193,592389
"Forever 21","Recycled_Poly",2020,2599,24,4524,1458,216,566546
"Forever 21","Viscose",2022,2383,24,7643,899,278,451409
"Adidas","Viscose",2019,5810,11,4530,1329,261,586064
"Urban Outfitters","Microfiber",2021,5710,21,4019,738,286,472275
"Nike","Polyester",2020,3361,9,6771,704,310,485227
"Adidas","Organic_Cotton",2020,2856,12,5571,1215,300,500246
"Adidas","Nylon",2018,4242,18,5867,1445,283,576334
"Forever 21","Organic_Cotton",2021,2896,19,7692,1201,241,469394
"Forever 21","Tencel",2019,2808,20,6912,1366,159,518354
"Zara","Nylon",2021,5439,21,4506,1260,214,544360
"Nike","Viscose",2022,2923,22,7402,807,280,581925
"Adidas","Linen",2020,3721,9,4052,1387,172,448948
"Forever 21","Wool",2021,3021,11,7192,1223,169,446552
"Nike","Wool",2019,5541,18,5081,1175,162,446164
"Adidas","Nylon",2021,5754,23,4742,1325,247,514004
"Forever 21","Polyester",2019,5757,24,4462,1121,262,432051
"Zara","Synthetic_Blend",2020,1901,25,7143,1461,297,568114
"Adidas","Wool",2020,2580,22,6710,1444,213,546334
"Nike","Wool",2021,3017,10,4047,1358,190,552531
"Zara","Tencel",2019,4901,21,7346,940,170,540348
"Urban Outfitters","Viscose",2021,2521,24,5831,1023,180,550383
"Forever 21","Viscose",2020,5964,15,6681,1387,266,509352
"Nike","Polyester",2019,5522,19,6294,1485,308,577273
"Urban Outfitters","Wool",2020,5507,12,4399,1477,318,478129
"Adidas","Linen",2019,5152,12,5041,1325,200,469163
"Adidas","Linen",2018,2197,22,7435,1299,273,553256
"Adidas","Viscose",2019,2851,12,5586,1373,303,578901
"Nike","Tencel",2021,5229,16,5120,1107,237,497115
"Urban Outfitters","Recycled_Poly",2019,5181,25,5224,1418,290,502289
"Zara","Cotton",2020,3118,18,6799,956,187,436261
"Nike","Cotton",2022,2064,20,7334,1163,176,581509
"Zara","Organic_Cotton",2022,3601,14,6132,769,279,461778
"Zara","Synthetic_Blend",2019,4424,25,4337,798,192,561026
"Nike","Polyester",2021,2769,9,6627,1437,308,436577
"Forever 21","Polyester",2018,4730,25,4434,996,325,498997
"Adidas","Tencel",2019,2917,21,7263,1258,225,586211
"Adidas","Synthetic_Blend",2020,1891,13,4504,742,151,570134
"Adidas","Microfiber",2022,2966,14,4753,926,307,486254
"Adidas","Nylon",2020,2371,15,5301,1197,265,506073
"Zara","Organic_Cotton",2019,3614,22,5133,1068,184,598147
"Nike","Linen",2021,5448,20,7173,1012,274,564617
"Zara","Recycled_Poly",2022,2471,17,7517,843,287,471493
"Forever 21","Viscose",2021,3542,10,6259,966,289,561473
"Adidas","Linen",2020,2131,16,7118,1199,209,436478
"Urban Outfitters","Polyester",2018,4454,12,6882,1233,312,491695
"Nike","Viscose",2022,3224,21,6677,1087,243,574056
"Urban Outfitters","Linen",2022,1854,25,7612,842,262,463412
"Forever 21","Nylon",2019,5196,19,6950,816,273,597007
"Nike","Nylon",2019,5479,24,7552,1193,193,477504
"Urban Outfitters","Viscose",2019,3289,25,5083,871,335,599723
"Nike","Linen",2022,2363,16,5549,1094,183,448461
"Adidas","Linen",2022,2119,25,7081,820,173,546416
"Adidas","Viscose",2022,1809,22,6138,1130,244,431387
"Forever 21","Microfiber",2019,5749,21,5435,1303,339,571026
"Forever 21","Tencel",2021,3911,15,4022,1426,340,421864
"Urban Outfitters","Organic_Cotton",2018,3067,22,6668,1299,214,488498
"Forever 21","Microfiber",2022,4795,17,6787,1106,343,473397
"Urban Outfitters","Tencel",2022,5752,14,5516,1272,292,546814
"Nike","Synthetic_Blend",2022,4620,21,7013,841,318,451217
"Adidas","Linen",2019,2621,15,6082,1110,236,564330
"Forever 21","Wool",2018,3116,21,7950,1351,151,443878
"Adidas","Linen",2022,5366,11,4262,969,206,517212
"Zara","Viscose",2018,4948,21,6514,1371,283,495096
"Forever 21","Polyester",2019,5849,23,4043,906,318,555830
"Zara","Organic_Cotton",2019,1802,14,4355,982,349,524709
"Nike","Wool",2021,5121,15,6120,715,338,437987
"Forever 21","Nylon",2022,4210,19,7878,819,281,487552
"Forever 21","Viscose",2020,5427,21,6306,1195,347,483772
"Adidas","Wool",2019,4386,22,7913,1061,282,560417
"Zara","Synthetic_Blend",2019,4153,11,5634,1389,341,509651
"Adidas","Wool",2019,5887,15,4961,1453,211,489574
"Nike","Linen",2022,4050,24,4749,1482,280,493470
"Urban Outfitters","Cotton",2022,2850,10,6153,1133,272,561759
"Urban Outfitters","Organic_Cotton",2018,1896,15,5554,1294,175,505311
"Nike","Microfiber",2020,5492,14,6340,834,297,599833
"Adidas","Linen",2018,3246,22,6046,837,311,555530
"Nike","Synthetic_Blend",2020,4751,17,5409,720,255,451781
"Forever 21","Linen",2021,2442,21,6513,993,268,585599
"Adidas","Recycled_Poly",2021,2643,12,4261,1184,290,434110
"Zara","Microfiber",2022,2481,12,5075,1332,189,442101
"Forever 21","Recycled_Poly",2018,2087,20,7524,1033,271,542471
"Forever 21","Viscose",2021,5363,25,6620,1354,286,501175
"Nike","Linen",2022,3660,11,5809,1015,243,528056
"Forever 21","Microfiber",2021,3847,14,6928,1454,315,522163
"Nike","Synthetic_Blend",2022,4002,22,4770,770,196,455815
"Adidas","Linen",2018,3707,11,4617,715,276,476934
"Nike","Microfiber",2020,5882,20,5899,1413,158,506572
"Zara","Recycled_Poly",2018,3983,21,4292,1256,270,467606
"Urban Outfitters","Linen",2019,2074,15,5887,1452,347,444631
"Zara","Tencel",2022,2800,17,5971,1353,226,472094
"Adidas","Synthetic_Blend",2022,2780,21,7232,948,152,431008
"Forever 21","Linen",2022,3069,20,7157,791,213,461339
"Urban Outfitters","Nylon",2022,4572,10,4244,1064,315,460348
"Forever 21","Nylon",2019,5796,16,5297,1271,315,511047
"Urban Outfitters","Cotton",2018,4894,20,6967,837,214,430351
"Urban Outfitters","Linen",2022,4214,24,4777,1280,197,562506
"Nike","Synthetic_Blend",2022,4807,23,4002,1494,313,552633
"Zara","Cotton",2021,2455,23,7280,1354,165,514614
"Zara","Wool",2022,4732,23,6877,1381,259,447289
"Zara","Tencel",2019,4272,9,5230,927,204,502550
"Zara","Synthetic_Blend",2022,5988,13,4386,738,267,513233
"Adidas","Recycled_Poly",2020,4807,16,4954,962,226,444092
"Forever 21","Microfiber",2022,3581,11,6963,1032,273,465325
"Urban Outfitters","Viscose",2018,4260,10,6993,1290,247,440572
"Zara","Organic_Cotton",2020,5357,22,7810,823,347,479432
"Forever 21","Polyester",2021,2243,18,6147,742,231,561539
"Forever 21","Recycled_Poly",2020,5915,16,4627,751,322,522991
"Urban Outfitters","Synthetic_Blend",2018,5064,25,5779,1492,328,454177
"Adidas","Linen",2022,3422,24,5619,1367,296,471406
"Forever 21","Viscose",2022,3817,16,4293,972,348,532739
"Nike","Wool",2022,2533,12,6751,1123,258,515752
"Forever 21","Linen",2022,2994,23,4183,939,201,599662
"Forever 21","Cotton",2019,3918,24,6551,1447,186,595180
"Forever 21","Synthetic_Blend",2018,5608,9,4272,1097,319,491122
"Nike","Linen",2022,2521,14,4814,1212,267,566980
"Zara","Polyester",2019,4297,19,6006,1102,340,461157
"Zara","Organic_Cotton",2020,4711,18,4967,1213,220,436255
"Adidas","Nylon",2021,3663,22,4984,1286,189,531795
"Forever 21","Wool",2019,2931,18,6820,1422,284,455455
"Adidas","Organic_Cotton",2019,2041,19,7605,1123,255,499520
"Urban Outfitters","Wool",2020,3044,15,4437,834,197,426867
"Urban Outfitters","Linen",2021,2926,14,4791,931,158,527109
"Zara","Synthetic_Blend",2021,3623,15,7103,909,166,466419
"Urban Outfitters","Viscose",2021,4461,23,7635,952,259,526133
"Zara","Viscose",2021,4363,21,6504,1460,296,575662
"Forever 21","Tencel",2018,2695,23,5871,743,212,555974
"Adidas","Nylon",2018,2735,23,6597,1071,171,557315
"Urban Outfitters","Tencel",2022,3109,21,6254,1089,161,464796
"Urban Outfitters","Synthetic_Blend",2020,5455,18,6565,885,180,454490
"Zara","Viscose",2021,3748,15,6411,1375,271,538944
"Urban Outfitters","Linen",2018,1853,16,7613,1260,221,582467
"Adidas","Polyester",2022,4244,19,7769,789,162,448544
"Forever 21","Nylon",2020,5656,13,4499,1411,220,506300
"Forever 21","Nylon",2021,4152,22,6493,1024,216,557728
"Forever 21","Viscose",2020,2862,24,6128,1446,311,550479
"Forever 21","Wool",2019,1892,15,6826,988,215,437782
"Nike","Synthetic_Blend",2022,4453,9,4466,1402,235,509485
"Zara","Recycled_Poly",2020,2055,19,5536,1341,286,463507
"Forever 21","Viscose",2021,3335,12,7541,1469,228,502444
"Adidas","Nylon",2021,5945,9,7272,1194,278,460390
"Adidas","Cotton",2018,5563,21,6923,1234,179,421077
"Nike","Polyester",2022,4357,15,5314,905,199,495121
"Nike","Tencel",2020,5413,12,5116,852,190,491732
"Nike","Recycled_Poly",2020,3805,14,4291,1018,306,508798
"Forever 21","Linen",2018,2865,9,5928,1391,162,447768
"Urban Outfitters","Polyester",2018,5293,21,4733,1421,302,575387
"Urban Outfitters","Viscose",2020,4359,19,7348,902,332,595864
"Urban Outfitters","Synthetic_Blend",2021,5654,16,7880,929,186,581727
"Nike","Organic_Cotton",2021,3302,19,7230,1032,266,547796
"Forever 21","Microfiber",2021,4603,16,4708,1378,321,440419
"Forever 21","Linen",2018,5592,19,6273,799,263,466182
"Nike","Microfiber",2018,2690,21,5341,1206,315,593058
"Urban Outfitters","Wool",2020,4935,21,5562,1145,289,475369
"Nike","Wool",2019,2900,9,4293,1363,154,457747
"Forever 21","Microfiber",2022,3272,23,6086,1134,291,537976
"Adidas","Tencel",2020,5165,20,4137,738,295,546685
"Nike","Nylon",2022,5744,11,4581,1447,337,557994
"Nike","Linen",2022,2440,25,7645,1324,172,484285
"Urban Outfitters","Wool",2018,4359,10,7701,1051,286,422826
"Adidas","Polyester",2022,4290,17,4251,1344,271,571556
"Adidas","Viscose",2018,4190,9,5174,1196,171,453245
"Adidas","Viscose",2019,5862,22,7155,1092,210,593189
"Urban Outfitters","Wool",2019,3527,20,4222,1357,217,450407
"Zara","Recycled_Poly",2021,5066,24,5234,1187,341,559597
"Adidas","Microfiber",2021,5687,17,4594,1243,261,423109
"Nike","Linen",2021,4386,25,6797,742,174,559275
"Nike","Tencel",2018,1869,11,4048,1121,175,557694
"Zara","Wool",2021,4679,16,6970,990,214,470614
"Forever 21","Recycled_Poly",2018,3309,17,5206,1178,319,439848
"Urban Outfitters","Synthetic_Blend",2021,4449,17,4663,1499,168,492689
"Zara","Linen",2019,5016,14,6643,1203,177,457715
"Nike","Wool",2020,5081,10,6589,1362,173,515775
"Zara","Organic_Cotton",2018,4566,10,5660,821,204,591402
"Forever 21","Linen",2022,3020,16,7788,773,159,457117
"Urban Outfitters","Wool",2018,5660,10,4994,1418,316,454219
"Zara","Nylon",2018,5872,16,4258,907,259,508432
"Zara","Wool",2022,4881,14,4064,1198,170,421664
"Adidas","Recycled_Poly",2020,5489,22,4979,878,306,429862
"Adidas","Cotton",2018,2583,20,7533,1479,288,553048
"Urban Outfitters","Linen",2019,3108,10,4221,1360,243,494727
"Adidas","Microfiber",2020,4538,23,4177,806,339,433751
"Urban Outfitters","Viscose",2022,4470,22,4814,1465,323,505376
"Adidas","Nylon",2020,3665,12,4971,1455,255,472417
"Urban Outfitters","Cotton",2018,5658,24,4222,1146,187,476666
"Nike","Synthetic_Blend",2019,4551,13,4131,1408,295,435637
"Nike","Recycled_Poly",2018,5613,23,5713,875,344,510066
"Urban Outfitters","Tencel",2021,3573,24,7428,1173,221,423802
"Forever 21","Polyester",2021,2162,10,5927,1451,346,552177
"Urban Outfitters","Cotton",2018,1901,22,7890,923,183,513953
"Nike","Cotton",2018,1930,24,6740,1012,191,540398
"Forever 21","Viscose",2018,5526,23,7161,841,330,526262
"Forever 21","Polyester",2020,4801,14,6654,1272,330,437565
"Forever 21","Cotton",2019,4543,16,6210,816,316,545434
"Forever 21","Cotton",2019,4425,20,7677,973,278,598317
"Urban Outfitters","Synthetic_Blend",2018,2319,20,5414,1163,274,551452
"Forever 21","Nylon",2021,4194,23,6543,1076,322,437203
"Adidas","Linen",2018,2456,21,7677,883,223,440171
"Zara","Synthetic_Blend",2021,2881,24,5420,1130,263,589000
